住居名,url,家賃,住所,最寄り駅,岡山駅までの距離,学校までの距離,間取り,専用設備,共通設備
サウスコート,https://unilife.co.jp/view/11911,"5.55万円 ～ 5.75万円
（1LDKタイプ：6.65万円～6.85万円）",岡山県岡山市北区南方2丁目9-18,"バス「南方交番前」停　徒歩2分
ＪＲ山陽本線「岡山」駅 徒歩15分",1.3 km,2.9 km,1K～1LDK／26.9m²～34.3m²／6.5帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機置場(室内) / 追焚き機能付バス / 温水洗浄便座 / IHコンロ(2口) / IHコンロ / 防犯シャッター / 複層ガラス / バルコニー / 収納 / WINクローゼット / シューズケース / インターフォン（TVモニター付) / エアコン,BSアンテナ / インターネット対応（無料） / 駐輪場 / 駐車場(任意)
ALPHA MAISON,https://unilife.co.jp/view/923205,2.85万円 ～ 3.6万円,岡山県岡山市北区津島東241,ＪＲ津山線「法界院」駅 徒歩8分,3.3 km,3.3 km,1K／20m²／6帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / ガスコンロ(持込) / 居室照明器具 / バルコニー / 収納 / インターフォン（TVモニター付) / エアコン,BSアンテナ / インターネット対応（無料） / 駐輪場
ポスト富田町Ⅱ,https://unilife.co.jp/view/10074,3.9万円 ～ 4.4万円,岡山県岡山市北区富田町2丁目3-8,"岡電バス「県民局入口」停徒歩1分
ＪＲ山陽本線「岡山」駅 徒歩10分",850 m,3.4 km,1R／18.76m²～22m²,セパレート（バス・トイレ） / 洗濯機 / 洗濯機置場(室内) / ガスコンロ(1口) / 家電付(一部) / 冷蔵庫（２ドア） / 居室照明器具 / 電子レンジ / バルコニー / フローリング / 収納 / シューズケース / インターフォン（TVモニター付) / エアコン / 個別給湯（ガス）,都市ガス / BS・CSアンテナ / インターネット対応（無料） / オートロック / エレベーター / 駐輪場(原付可)
St.LEONE北方,https://unilife.co.jp/view/11608,4.75万円 ～ 5.15万円,岡山県岡山市北区北方2丁目6-3,"岡電バス「植物園口」停徒歩2分
ＪＲ津山線「法界院」駅 徒歩10分
ＪＲ山陽本線「西川原」駅 自転車9分(約2.1km)",3.2 km,3.3 km,1K／27.4m²～33.8m²,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(1口) / バルコニー / フローリング / 収納 / シューズケース / エアコン / 個別給湯（ガス）,BSアンテナ / CSアンテナ / インターネット対応（無料） / 駐輪場(原付可) / 駐車場(任意)
St.LEONE番町,https://unilife.co.jp/view/11420,4.6万円 ～ 5.1万円,岡山県岡山市北区番町2丁目13-10,"岡電バス「南方交番前」停徒歩6分
ＪＲ山陽本線「岡山」駅 自転車8分(約1.7km)",1.7 km,3.3 km,1K／25.9m²／10帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 浴室乾燥機 / 温水洗浄便座 / ガスコンロ(2口) / システムキッチン / 居室照明器具 / 複層ガラス / フローリング / バルコニー / 収納 / シューズケース / インターフォン（TVモニター付) / エアコン,BSアンテナ / インターネット対応（無料） / 宅配BOX / 駐輪場 / 駐輪場(原付可) / 駐車場(任意)
クレフラスト番町,https://unilife.co.jp/view/10768,4.5万円 ～ 4.9万円,岡山県岡山市北区番町2丁目13-17,"岡電・宇野バス「南方交番前」停徒歩5分
ＪＲ山陽本線「岡山」駅 徒歩20分",1.7 km,3.2 km,1K／24.93m²～25.02m²／8.2帖～8.3帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(持込) / 居室照明器具 / フローリング / バルコニー / 収納 / シューズケース / インターフォン（TVモニター付) / エアコン,CATV / インターネット対応 / 駐輪場(原付可)
Schalke北方,https://unilife.co.jp/view/11862,5.05万円 ～ 5.4万円,岡山県岡山市北区北方2丁目4-6,"岡電バス「植物園口」停徒歩2分
ＪＲ津山線「法界院」駅 徒歩8分",3.0 km,3.1 km,1K／26.1m²／8帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機置場(室内) / 温水洗浄便座 / 浴室乾燥機 / IHコンロ(2口) / バルコニー / 収納 / シューズケース / インターフォン（TVモニター付) / 防犯ディンプルキー / エアコン,BSアンテナ / インターネット対応（無料） / 防犯カメラ / 宅配BOX / 駐輪場(原付可)
サニーコート法界院,https://unilife.co.jp/view/11538,4.3万円 ～ 4.6万円,岡山県岡山市北区半田町4-55-1,"岡電バス「理大専門学校口」停　徒歩2分
ＪＲ津山線「法界院」駅 自転車8分(約1.8km)",4.1 km,4.1 km,1K／25.9m²／7.6帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機置場(室内) / 追焚き機能付バス / 浴室乾燥機 / 温水洗浄便座 / ガスコンロ(1口) / 居室照明器具 / バルコニー / フローリング / シューズケース / 収納 / インターフォン（TVモニター付) / エアコン / 個別給湯（ガス）,BSアンテナ / インターネット対応（無料） / 駐輪場(原付可) / 駐車場(任意)
ラ・リベルテ,https://unilife.co.jp/view/920606,"5.8万円 ～ 6.2万円
（1LDKタイプ：6.9万円）",岡山県岡山市北区津島新野1丁目91,ＪＲ津山線「法界院」駅 徒歩12分,1.9 km,1.8 km,1R／27.9m²～43.8m²／8.1帖～15帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機置場(室内) / 浴室乾燥機 / 追焚き機能付バス / 温水洗浄便座 / IHコンロ(2口) / フローリング / バルコニー / 収納 / シューズケース / インターフォン（TVモニター付) / エアコン,インターネット対応（無料） / オートロック / 防犯カメラ / 宅配BOX / 駐輪場 / 駐車場(任意)
エフォール岡山,https://unilife.co.jp/view/1370,4.95万円 ～ 5.8万円,岡山県岡山市北区岩田町2-14,"ＪＲ山陽本線「岡山」駅 徒歩5分
岡山電気軌道東山本線「岡山駅前」駅 徒歩8分
岡山電気軌道清輝橋線「岡山駅前」駅 徒歩8分",500 m,3.3 km,1R～1DK／30.45m²～31.83m²／12.5帖～12.7帖,独立洗面化粧台 / セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / IH+RHコンロ(2口) / システムキッチン / 家具家電付 / 玄関センサー感知ライト / バルコニー / フローリング / 吊棚 / 収納 / インターフォン（TVモニター付) / エアコン / オール電化(ガス無し),BSアンテナ / CSアンテナ / インターネット対応 / オートロック / 防犯カメラ / エレベーター / 宅配BOX / 駐輪場(原付可)
